collector_id,hostname,display_name,group_list,description,properties
12,p-q-ChiEng01,p-q-ChiEng01,Servers/CoreApps/Q,,
12,p-q-EngSpa01,p-q-EngSpa01,Servers/CoreApps/Q,,
12,p-q-SpaEng01,p-q-SpaEng01,Servers/CoreApps/Q,,
12,p-q-ChiEng02,p-q-ChiEng02,Servers/CoreApps/Q,,
12,p-q-EngSpa02,p-q-EngSpa02,Servers/CoreApps/Q,,
12,p-q-SpaEng02,p-q-SpaEng02,Servers/CoreApps/Q,,
12,p-t-EngChi01,p-t-EngChi01,Servers/CoreApps/T,,
12,p-t-ChiEng01,p-t-ChiEng01,Servers/CoreApps/T,,
12,p-t-EngJpn01,p-t-EngJpn01,Servers/CoreApps/T,,
12,p-t-JpnEng01,p-t-JpnEng01,Servers/CoreApps/T,,
12,p-t-EngCht01,p-t-EngCht01,Servers/CoreApps/T,,
12,p-t-ChtEng01,p-t-ChtEng01,Servers/CoreApps/T,,
12,p-t-EngSpa01,p-t-EngSpa01,Servers/CoreApps/T,,
12,p-t-SpaEng01,p-t-SpaEng01,Servers/CoreApps/T,,
12,p-t-EngGer01,p-t-EngGer01,Servers/CoreApps/T,,
12,p-t-GerEng01,p-t-GerEng01,Servers/CoreApps/T,,
12,p-t-EngFra01,p-t-EngFra01,Servers/CoreApps/T,,
12,p-t-FraEng01,p-t-FraEng01,Servers/CoreApps/T,,
12,p-t-EngChi02,p-t-EngChi02,Servers/CoreApps/T,,
12,p-t-ChiEng02,p-t-ChiEng02,Servers/CoreApps/T,,
12,p-t-EngJpn02,p-t-EngJpn02,Servers/CoreApps/T,,
12,p-t-JpnEng02,p-t-JpnEng02,Servers/CoreApps/T,,
12,p-t-EngCht02,p-t-EngCht02,Servers/CoreApps/T,,
12,p-t-ChtEng02,p-t-ChtEng02,Servers/CoreApps/T,,
12,p-t-EngSpa02,p-t-EngSpa02,Servers/CoreApps/T,,
12,p-t-SpaEng02,p-t-SpaEng02,Servers/CoreApps/T,,
12,p-t-EngGer02,p-t-EngGer02,Servers/CoreApps/T,,
12,p-t-GerEng02,p-t-GerEng02,Servers/CoreApps/T,,
12,p-t-EngFra02,p-t-EngFra02,Servers/CoreApps/T,,
12,p-t-FraEng02,p-t-FraEng02,Servers/CoreApps/T,,
12,p-t-ChiEng012,p-t-ChiEng012,Servers/CoreApps/T,,
12,p-t-EngJpn012,p-t-EngJpn012,Servers/CoreApps/T,,
12,p-t-EngSpa012,p-t-EngSpa012,Servers/CoreApps/T,,
12,p-t-SpaEng012,p-t-SpaEng012,Servers/CoreApps/T,,
12,p-t-ChiEng04,p-t-ChiEng04,Servers/CoreApps/T,,
12,p-t-EngJpn04,p-t-EngJpn04,Servers/CoreApps/T,,
12,p-t-EngSpa04,p-t-EngSpa04,Servers/CoreApps/T,,
12,p-t-SpaEng04,p-t-SpaEng04,Servers/CoreApps/T,,
12,p-t-ChiEng05,p-t-ChiEng05,Servers/CoreApps/T,,
12,p-t-EngSpa05,p-t-EngSpa05,Servers/CoreApps/T,,
12,p-t-SpaEng05,p-t-SpaEng05,Servers/CoreApps/T,,
12,p-t-ChiEng06,p-t-ChiEng06,Servers/CoreApps/T,,
12,p-t-EngSpa06,p-t-EngSpa06,Servers/CoreApps/T,,
12,p-t-SpaEng06,p-t-SpaEng06,Servers/CoreApps/T,,
12,p-t-EngSpa07,p-t-EngSpa07,Servers/CoreApps/T,,
12,p-t-SpaEng07,p-t-SpaEng07,Servers/CoreApps/T,,
12,p-t-EngSpa08,p-t-EngSpa08,Servers/CoreApps/T,,
12,p-t-SpaEng08,p-t-SpaEng08,Servers/CoreApps/T,,
12,p-t-EngSpa09,p-t-EngSpa09,Servers/CoreApps/T,,
12,p-t-SpaEng09,p-t-SpaEng09,Servers/CoreApps/T,,
12,p-t-EngSpa10,p-t-EngSpa10,Servers/CoreApps/T,,
12,p-t-SpaEng10,p-t-SpaEng10,Servers/CoreApps/T,,
12,p-t-EngSpa11,p-t-EngSpa11,Servers/CoreApps/T,,
12,p-t-SpaEng11,p-t-SpaEng11,Servers/CoreApps/T,,
12,p-t-EngSpa12,p-t-EngSpa12,Servers/CoreApps/T,,
12,p-t-SpaEng12,p-t-SpaEng12,Servers/CoreApps/T,,
12,pit-mgmtdb01,pit-mgmtdb01,Servers/IT,,
12,pit-mgmtdb02,pit-mgmtdb02,Servers/IT,,
12,pit-mgmtdb012,pit-mgmtdb02,Servers/IT,,
